 -- Event     2 Run:     2 length:  5134 type:  1 (Data Event)  1660163116
Packet  1001  5126 -1 (sPHENIX Packet)  81 (IDDRS4V1)
 Samples 1024  enabled channnels:   0  1  2  3
   ch |       time          ch0          ch1          ch2          ch3
  939 |    473.779         -7.8         -8.1         -8.2         -8.2   
  940 |    474.284         -9.3         -8.2         -7.6         -7.9   
  941 |    474.788         -8.3         -8.1         -7.9         -8.6   
  942 |    475.293         -8.2         -7.6           -8         -8.7   
  943 |    475.798         -7.7         -8.5         -8.4         -8.6   
  944 |    476.302         -8.2         -8.3         -7.4         -7.3   
  945 |    476.807         -8.4         -8.3         -8.5         -7.5   
  946 |    477.311         -7.7         -7.3         -7.8         -7.7   
  947 |    477.816         -7.5         -7.8         -8.3         -7.6   
  948 |     478.32         -7.8         -6.9         -6.7         -6.9   
  949 |    478.825           -7         -7.9         -6.1         -6.6   
  950 |    479.329         -7.6         -7.7         -6.9         -7.6   
  951 |    479.834         -7.1         -6.8         -7.4         -7.6   
  952 |    480.339         -6.1         -7.2         -6.6         -7.4   
  953 |    480.843         -6.6           -7         -7.4         -7.6   
  954 |    481.348         -6.6         -7.6           -7         -7.9   
  955 |    481.852           -9         -8.5         -8.3           -9   
  956 |    482.357           -9         -8.7         -7.7           -9   
  957 |    482.861         -9.9        -10.1           -9         -9.1   
  958 |    483.366         -8.9         -9.8         -9.4         -8.6   
  959 |     483.87        -10.1         -9.5        -10.3         -9.7   
  960 |    484.375         -7.9         -8.7         -8.4           -9   
  961 |     484.88        -10.7         -9.6         -9.4         -8.9   
  962 |    485.384         -8.1         -8.5         -8.7         -8.8   
  963 |    485.889         -9.2         -8.4         -9.1         -9.1   
  964 |    486.393         -8.6         -8.1         -8.7         -7.6   
  965 |    486.898         -7.9         -8.3         -8.5         -7.5   
  966 |    487.402         -7.5         -7.2         -7.7         -7.5   
  967 |    487.907         -7.2         -7.9         -8.6           -7   
  968 |    488.411         -7.1         -6.8           -7         -7.5   
  969 |    488.916         -7.3         -7.4         -7.6         -8.4   
  970 |    489.421         -7.1         -7.8         -7.9         -8.2   
  971 |    489.925         -7.8         -7.5         -8.1         -8.2   
  972 |     490.43         -7.9         -8.5         -8.9         -8.3   
  973 |    490.934         -9.5         -9.4         -9.3         -8.2   
  974 |    491.439         -8.1         -7.8         -8.6         -9.1   
  975 |    491.943         -8.1         -9.8         -9.3         -9.3   
  976 |    492.448         -7.8         -8.3         -8.5         -8.1   
  977 |    492.952           -8         -8.7         -7.8         -8.7   
  978 |    493.457         -8.1         -7.4         -8.3         -8.3   
  979 |    493.962         -7.2         -7.7         -6.6         -7.1   
  980 |    494.466         -7.5           -8           -7         -6.7   
  981 |    494.971         -6.8         -6.9           -6         -6.8   
  982 |    495.475         -6.6         -6.1         -6.8         -7.1   
  983 |     495.98         -5.8         -5.7         -6.4         -6.5   
  984 |    496.484           -6         -6.8         -8.1         -7.6   
  985 |    496.989         -7.5         -7.7         -8.4         -7.4   
  986 |    497.493         -8.6         -8.2         -7.9         -7.9   
  987 |    497.998         -8.4         -8.1         -9.7           -8   
  988 |    498.503         -9.1         -8.8          -10         -8.4   
  989 |    499.007         -9.7         -9.1         -9.8         -8.7   
  990 |    499.512         -9.5         -9.1        -10.5        -10.5   
  991 |    500.016         -9.9        -10.4         -9.9         -9.6   
  992 |    500.521         -9.5         -9.2         -9.7         -9.9   
  993 |    501.025         -9.8         -9.6         -9.4         -9.1   
  994 |     501.53         -9.6         -9.2         -9.4         -8.2   
  995 |    502.035         -8.3           -8         -9.3         -8.4   
  996 |    502.539         -7.5         -7.4         -6.9         -7.2   
  997 |    503.044         -7.7         -7.4         -7.9           -8   
  998 |    503.548         -6.7         -6.9           -6         -6.6   
  999 |    504.053         -6.6           -7         -6.4         -6.3   
 1000 |    504.557         -6.8         -6.6         -7.1         -6.1   
 1001 |    505.062         -7.6         -7.7         -7.7         -7.3   
 1002 |    505.566         -6.4         -6.2         -6.8         -7.7   
 1003 |    506.071         -7.1           -7         -7.1           -7   
 1004 |    506.576           -8         -7.1         -8.2         -6.9   
 1005 |     507.08           -8         -7.9         -7.8         -8.5   
 1006 |    507.585         -8.9         -9.4         -9.3         -9.3   
 1007 |    508.089         -9.2         -8.4         -9.1         -9.9   
 1008 |    508.594         -9.3         -8.1         -8.8         -9.2   
 1009 |    509.098         -9.1         -9.1         -8.5          -10   
 1010 |    509.603         -8.6         -9.3         -8.9         -8.7   
 1011 |    510.107         -8.6         -9.5         -9.6         -8.9   
 1012 |    510.612         -8.8         -8.5         -8.8           -9   
 1013 |    511.117         -8.2         -8.7           -8         -8.5   
 1014 |    511.621         -7.9         -7.2         -6.9         -7.5   
 1015 |    512.126         -7.2         -7.5         -7.9         -6.6   
 1016 |     512.63           -7           -8         -7.6         -7.7   
 1017 |    513.135         -7.2         -7.9         -7.8         -8.3   
 1018 |    513.639         -7.9         -7.7         -8.1         -7.8   
 1019 |    514.144         -8.2         -8.2         -7.7         -7.8   
 1020 |    514.648         -8.3         -7.9         -7.6         -8.8   
 1021 |    515.153         -9.4         -9.9         -9.7         -8.7   
 1022 |    515.658         -9.8         -9.5         -9.7        -10.2   
 1023 |    516.162         -9.8         -9.5         -9.5         -9.2   
